MAp,eps,omegah2,xf
6.670372746889e-01,8.486083324424e-04,1.190000000000e-01,2.060000000000e+01
6.670372746889e-01,8.430309435189e-04,1.210000000000e-01,2.060000000000e+01
6.571810659588e-01,8.255593475062e-04,1.220000000000e-01,2.060000000000e+01
6.571810659588e-01,8.315563277646e-04,1.210000000000e-01,2.060000000000e+01
6.474704935436e-01,8.202378946602e-04,1.200000000000e-01,2.060000000000e+01
6.379034055067e-01,8.090735183811e-04,1.200000000000e-01,2.060000000000e+01
6.284776817086e-01,7.980611020378e-04,1.200000000000e-01,2.050000000000e+01
6.191912333373e-01,7.871985772814e-04,1.200000000000e-01,2.050000000000e+01
6.100420024455e-01,7.764839039162e-04,1.190000000000e-01,2.050000000000e+01
6.100420024455e-01,7.713805452058e-04,1.210000000000e-01,2.050000000000e+01
6.010279614941e-01,7.558803619500e-04,1.220000000000e-01,2.050000000000e+01
6.010279614941e-01,7.613711841689e-04,1.210000000000e-01,2.050000000000e+01
5.921471129031e-01,7.514917036547e-04,1.200000000000e-01,2.050000000000e+01
5.833974886090e-01,7.417404183456e-04,1.200000000000e-01,2.050000000000e+01
5.747771496288e-01,7.321156647930e-04,1.190000000000e-01,2.050000000000e+01
5.747771496288e-01,7.273039116633e-04,1.210000000000e-01,2.040000000000e+01
5.662841856297e-01,7.131483829619e-04,1.220000000000e-01,2.040000000000e+01
5.662841856297e-01,7.183287940211e-04,1.200000000000e-01,2.040000000000e+01
5.579167145064e-01,7.094644316430e-04,1.200000000000e-01,2.040000000000e+01
5.496728819639e-01,7.007094577802e-04,1.190000000000e-01,2.040000000000e+01
5.496728819639e-01,6.961041186396e-04,1.210000000000e-01,2.040000000000e+01
5.415508611063e-01,6.829954010025e-04,1.210000000000e-01,2.040000000000e+01
5.335488520319e-01,6.701335408017e-04,1.220000000000e-01,2.030000000000e+01
5.335488520319e-01,6.750014859431e-04,1.210000000000e-01,2.030000000000e+01
5.256650814349e-01,6.671011332677e-04,1.200000000000e-01,2.030000000000e+01
5.178978022119e-01,6.592932479034e-04,1.190000000000e-01,2.030000000000e+01
5.178978022119e-01,6.549601124418e-04,1.210000000000e-01,2.030000000000e+01
5.102452930747e-01,6.430400541948e-04,1.210000000000e-01,2.030000000000e+01
5.027058581692e-01,6.313369370803e-04,1.220000000000e-01,2.030000000000e+01
5.027058581692e-01,6.359230581865e-04,1.210000000000e-01,2.030000000000e+01
4.952778266994e-01,6.288848311941e-04,1.200000000000e-01,2.030000000000e+01
4.879595525571e-01,6.219245014230e-04,1.190000000000e-01,2.030000000000e+01
4.879595525571e-01,6.178369681135e-04,1.200000000000e-01,2.030000000000e+01
4.807494139572e-01,6.069831871170e-04,1.210000000000e-01,2.030000000000e+01
4.736458130782e-01,5.963200786894e-04,1.210000000000e-01,2.020000000000e+01
4.666471757082e-01,5.858442932120e-04,1.220000000000e-01,2.020000000000e+01
4.666471757082e-01,5.900999492972e-04,1.200000000000e-01,2.020000000000e+01
4.597519508961e-01,5.839447011844e-04,1.190000000000e-01,2.020000000000e+01
4.597519508961e-01,5.801067861135e-04,1.210000000000e-01,2.020000000000e+01
4.529586106076e-01,5.702828541093e-04,1.210000000000e-01,2.020000000000e+01
4.462656493870e-01,5.606252874060e-04,1.220000000000e-01,2.020000000000e+01
4.462656493870e-01,5.646977490540e-04,1.200000000000e-01,2.020000000000e+01
4.396715840232e-01,5.591673421161e-04,1.190000000000e-01,2.020000000000e+01
4.396715840232e-01,5.554922736291e-04,1.200000000000e-01,2.020000000000e+01
4.331749532212e-01,5.464368621596e-04,1.210000000000e-01,2.020000000000e+01
4.267743172784e-01,5.375290683632e-04,1.210000000000e-01,2.010000000000e+01
4.204682577652e-01,5.287664858360e-04,1.210000000000e-01,2.010000000000e+01
4.142553772110e-01,5.201467474025e-04,1.210000000000e-01,2.010000000000e+01
4.081342987941e-01,5.116675244756e-04,1.220000000000e-01,2.010000000000e+01
4.081342987941e-01,5.153843499859e-04,1.200000000000e-01,2.010000000000e+01
4.021036660372e-01,5.106655564740e-04,1.190000000000e-01,2.010000000000e+01
4.021036660372e-01,5.073092608669e-04,1.200000000000e-01,2.010000000000e+01
3.961621425063e-01,4.993606929825e-04,1.200000000000e-01,2.010000000000e+01
3.903084115146e-01,4.915366639864e-04,1.200000000000e-01,2.010000000000e+01
3.845411758309e-01,4.838352225921e-04,1.210000000000e-01,2.000000000000e+01
3.788591573919e-01,4.762544480857e-04,1.210000000000e-01,2.000000000000e+01
3.732610970192e-01,4.687924498474e-04,1.210000000000e-01,2.000000000000e+01
3.677457541402e-01,4.614473668798e-04,1.210000000000e-01,2.000000000000e+01
3.623119065129e-01,4.542173673438e-04,1.210000000000e-01,2.000000000000e+01
3.569583499554e-01,4.471006481015e-04,1.210000000000e-01,2.000000000000e+01
3.516838980791e-01,4.400954342670e-04,1.210000000000e-01,1.990000000000e+01
3.464873820252e-01,4.331999787633e-04,1.220000000000e-01,1.990000000000e+01
3.464873820252e-01,4.363468048860e-04,1.200000000000e-01,1.990000000000e+01
3.413676502064e-01,4.326301054483e-04,1.190000000000e-01,1.990000000000e+01
3.413676502064e-01,4.297866896275e-04,1.200000000000e-01,1.990000000000e+01
3.363235680512e-01,4.233252003054e-04,1.200000000000e-01,1.990000000000e+01
3.313540177527e-01,4.169608541598e-04,1.200000000000e-01,1.990000000000e+01
3.264578980208e-01,4.106921907230e-04,1.200000000000e-01,1.990000000000e+01
3.216341238382e-01,4.045177714841e-04,1.200000000000e-01,1.990000000000e+01
3.168816262200e-01,3.984361795592e-04,1.200000000000e-01,1.980000000000e+01
3.121993519765e-01,3.924460193660e-04,1.200000000000e-01,1.980000000000e+01
3.075862634802e-01,3.865459163036e-04,1.200000000000e-01,1.980000000000e+01
3.030413384357e-01,3.807345164371e-04,1.200000000000e-01,1.980000000000e+01
2.985635696531e-01,3.750104861870e-04,1.200000000000e-01,1.980000000000e+01
2.941519648248e-01,3.693725120229e-04,1.200000000000e-01,1.980000000000e+01
2.898055463056e-01,3.638193001624e-04,1.200000000000e-01,1.970000000000e+01
2.855233508963e-01,3.583495762740e-04,1.210000000000e-01,1.970000000000e+01
2.813044296299e-01,3.529620851846e-04,1.210000000000e-01,1.970000000000e+01
2.771478475612e-01,3.476555905919e-04,1.210000000000e-01,1.970000000000e+01
2.730526835602e-01,3.424288747800e-04,1.210000000000e-01,1.970000000000e+01
2.690180301074e-01,3.372807383408e-04,1.210000000000e-01,1.960000000000e+01
2.650429930930e-01,3.322099998978e-04,1.210000000000e-01,1.960000000000e+01
2.611266916186e-01,3.272154958360e-04,1.210000000000e-01,1.960000000000e+01
