MAp,eps,omegah2,xf,method,ncalls
1.6265135577e-01,3.8875156758e-04,1.2000000000e-01,1.9200000000e+01,refine,2
1.6452119621e-01,3.8881436022e-04,1.1900000000e-01,1.9300000000e+01,refine,1
1.6641253233e-01,3.8344571854e-04,1.2000000000e-01,1.9300000000e+01,refine,1
1.6832561125e-01,3.7815120558e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.7026068294e-01,3.7292979781e-04,1.1900000000e-01,1.9300000000e+01,refine,1
1.7221800022e-01,3.6436239617e-04,1.2000000000e-01,1.9300000000e+01,refine,1
1.7419781882e-01,3.5599181542e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.7620039742e-01,3.4781353393e-04,1.2100000000e-01,1.9300000000e+01,refine,1
1.7822599767e-01,3.4607027325e-04,1.2000000000e-01,1.9300000000e+01,refine,1
1.8027488423e-01,3.4433574988e-04,1.2000000000e-01,1.9300000000e+01,refine,1
1.8234732479e-01,3.4260992005e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.8444359014e-01,3.4089274017e-04,1.2100000000e-01,1.9300000000e+01,refine,1
1.8656395416e-01,3.4231322160e-04,1.2000000000e-01,1.9300000000e+01,refine,1
1.8870869388e-01,3.4373962209e-04,1.2000000000e-01,1.9300000000e+01,refine,1
1.9087808955e-01,3.4517196632e-04,1.2000000000e-01,1.9400000000e+01,refine,1
1.9307242459e-01,3.4661027905e-04,1.2000000000e-01,1.9400000000e+01,refine,1
1.9529198571e-01,3.4805458515e-04,1.2000000000e-01,1.9400000000e+01,refine,1
1.9753706291e-01,3.4950490960e-04,1.2000000000e-01,1.9400000000e+01,refine,2
1.9980794952e-01,3.5096127747e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.0210494226e-01,3.5567490663e-04,1.1900000000e-01,1.9400000000e+01,refine,1
2.0442834123e-01,3.5710186431e-04,1.1900000000e-01,1.9400000000e+01,refine,1
2.0677845000e-01,3.5853454691e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.0915557563e-01,3.5997297740e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.1156002870e-01,3.6475133836e-04,1.1900000000e-01,1.9400000000e+01,refine,1
2.1399212337e-01,3.6443102386e-04,1.2000000000e-01,1.9500000000e+01,refine,2
2.1645217740e-01,3.6411099065e-04,1.2000000000e-01,1.9500000000e+01,refine,2
2.1894051222e-01,3.6714729928e-04,1.1900000000e-01,1.9500000000e+01,refine,1
2.2145745295e-01,3.6330159156e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.2400332844e-01,3.5949616594e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.2657847131e-01,3.5242450048e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.2918321804e-01,3.4228099839e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.3181790894e-01,3.2778640754e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.3448288826e-01,3.1390561986e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.3717850418e-01,3.0476489778e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.3990510892e-01,3.0267748227e-04,1.2100000000e-01,1.9500000000e+01,refine,1
2.4266305871e-01,3.0613052496e-04,1.2100000000e-01,1.9600000000e+01,refine,1
2.4545271389e-01,3.0962296107e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.4827443896e-01,3.1315524003e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.5112860259e-01,3.1672781636e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.5401557770e-01,3.2034114981e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.5693574147e-01,3.2399570533e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.5988947546e-01,3.2769195320e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.6287716558e-01,3.3143036907e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.6589920220e-01,3.3521143400e-04,1.2000000000e-01,1.9600000000e+01,refine,1
2.6895598015e-01,3.3903563453e-04,1.2000000000e-01,1.9700000000e+01,refine,1
2.7204789884e-01,3.4290346279e-04,1.2000000000e-01,1.9700000000e+01,refine,1
2.7517536223e-01,3.4681541648e-04,1.2000000000e-01,1.9700000000e+01,refine,1
2.7833877894e-01,3.5077199900e-04,1.2000000000e-01,1.9700000000e+01,refine,1
2.8153856231e-01,3.5477371950e-04,1.2000000000e-01,1.9700000000e+01,refine,1
2.8477513039e-01,3.5882109292e-04,1.2000000000e-01,1.9700000000e+01,refine,1
2.8804890607e-01,3.6291464009e-04,1.2000000000e-01,1.9700000000e+01,refine,1
2.9136031708e-01,3.6705488777e-04,1.2000000000e-01,1.9800000000e+01,refine,1
2.9470979609e-01,3.7124236873e-04,1.2000000000e-01,1.9800000000e+01,refine,1
2.9809778071e-01,3.7547762184e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.0152471361e-01,3.7976119208e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.0499104254e-01,3.8409363067e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.0849722040e-01,3.8847549513e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.1204370529e-01,3.9290734932e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.1563096058e-01,3.9738976353e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.1925945497e-01,4.0192331458e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.2292966254e-01,4.0650858584e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.2664206282e-01,4.1114616736e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.3039714087e-01,4.1583665592e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.3419538731e-01,4.2058065508e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.3803729839e-01,4.2537877532e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.4192337610e-01,4.3023163408e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.4585412817e-01,4.3513985581e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.4983006817e-01,4.4010407213e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.5385171560e-01,4.4512492183e-04,1.2000000000e-01,2.0000000000e+01,refine,1
3.5791959589e-01,4.5020305101e-04,1.2000000000e-01,2.0000000000e+01,refine,1
3.6203424054e-01,4.5533911314e-04,1.2000000000e-01,2.0000000000e+01,refine,2
3.6619618716e-01,4.6053376912e-04,1.2000000000e-01,2.0000000000e+01,refine,2
3.7040597953e-01,4.7008468975e-04,1.1900000000e-01,2.0000000000e+01,refine,1
3.7466416769e-01,4.7537419198e-04,1.1900000000e-01,2.0000000000e+01,refine,1
3.7897130798e-01,4.8072321291e-04,1.1900000000e-01,2.0000000000e+01,refine,1
3.8332796318e-01,4.8613242227e-04,1.1900000000e-01,2.0100000000e+01,refine,1
3.8773470249e-01,4.9160249731e-04,1.1900000000e-01,2.0100000000e+01,refine,1
3.9219210169e-01,4.9713412291e-04,1.1900000000e-01,2.0100000000e+01,refine,1
3.9670074317e-01,5.0272799165e-04,1.1900000000e-01,2.0100000000e+01,refine,1
4.0126121600e-01,5.0838480390e-04,1.1900000000e-01,2.0100000000e+01,refine,1
4.0587411603e-01,5.1410526791e-04,1.1900000000e-01,2.0100000000e+01,refine,1
4.1054004598e-01,5.1989009992e-04,1.1900000000e-01,2.0100000000e+01,refine,1
4.1525961547e-01,5.2574002420e-04,1.2000000000e-01,2.0100000000e+01,refine,1
4.2003344115e-01,5.3165577319e-04,1.2000000000e-01,2.0100000000e+01,refine,1
4.2486214674e-01,5.3763808756e-04,1.2000000000e-01,2.0200000000e+01,refine,1
4.2974636314e-01,5.4368771632e-04,1.2000000000e-01,2.0200000000e+01,refine,1
4.3468672851e-01,5.4980541691e-04,1.2000000000e-01,2.0200000000e+01,refine,1
4.3968388833e-01,5.5599195530e-04,1.2000000000e-01,2.0200000000e+01,refine,1
4.4473849551e-01,5.6224810605e-04,1.2000000000e-01,2.0200000000e+01,refine,1
4.4985121047e-01,5.6857465246e-04,1.2000000000e-01,2.0200000000e+01,refine,1
4.5502270122e-01,5.7497238664e-04,1.2000000000e-01,2.0200000000e+01,refine,2
4.6025364344e-01,5.8144210962e-04,1.2000000000e-01,2.0200000000e+01,refine,2
4.6554472058e-01,5.9340892967e-04,1.1900000000e-01,2.0200000000e+01,refine,1
4.7089662397e-01,5.9999349332e-04,1.1900000000e-01,2.0300000000e+01,refine,1
4.7631005284e-01,6.0665112037e-04,1.1900000000e-01,2.0300000000e+01,refine,1
4.8178571452e-01,6.1338262156e-04,1.1900000000e-01,2.0300000000e+01,refine,1
4.8732432441e-01,6.2018881660e-04,1.1900000000e-01,2.0300000000e+01,refine,1
4.9292660618e-01,6.2707053430e-04,1.1900000000e-01,2.0300000000e+01,refine,1
4.9859329179e-01,6.3402861268e-04,1.1900000000e-01,2.0300000000e+01,refine,1
5.0432512164e-01,6.4106389905e-04,1.1900000000e-01,2.0300000000e+01,refine,1
5.1012284462e-01,6.4817725012e-04,1.2000000000e-01,2.0300000000e+01,refine,1
5.1598721823e-01,6.5536953212e-04,1.2000000000e-01,2.0300000000e+01,refine,1
5.2191900871e-01,6.6264162086e-04,1.2000000000e-01,2.0300000000e+01,refine,1
5.2791899106e-01,6.6999440190e-04,1.2000000000e-01,2.0300000000e+01,refine,1
5.3398794923e-01,6.7742877062e-04,1.2000000000e-01,2.0400000000e+01,refine,1
5.4012667615e-01,6.8494563232e-04,1.2000000000e-01,2.0400000000e+01,refine,1
5.4633597390e-01,6.9254590237e-04,1.2000000000e-01,2.0400000000e+01,refine,1
5.5261665375e-01,7.0023050626e-04,1.2000000000e-01,2.0400000000e+01,refine,2
5.5896953631e-01,7.0800037980e-04,1.2100000000e-01,2.0400000000e+01,refine,2
5.6539545163e-01,7.2246041553e-04,1.1900000000e-01,2.0400000000e+01,refine,1
5.7189523929e-01,7.3036422093e-04,1.1900000000e-01,2.0500000000e+01,refine,1
5.7846974853e-01,7.3835449492e-04,1.1900000000e-01,2.0500000000e+01,refine,1
5.8511983834e-01,7.4643218350e-04,1.1900000000e-01,2.0500000000e+01,refine,1
5.9184637761e-01,7.5459824297e-04,1.1900000000e-01,2.0500000000e+01,refine,1
5.9865024518e-01,7.6285364014e-04,1.1900000000e-01,2.0500000000e+01,refine,1
6.0553233004e-01,7.7119935236e-04,1.1900000000e-01,2.0500000000e+01,refine,1
6.1249353136e-01,7.7963636769e-04,1.1900000000e-01,2.0500000000e+01,refine,1
6.1953475868e-01,7.8816568501e-04,1.2000000000e-01,2.0500000000e+01,refine,1
6.2665693196e-01,7.9678831410e-04,1.2000000000e-01,2.0500000000e+01,refine,1
6.3386098176e-01,8.0550527581e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.4114784934e-01,8.1431760215e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.4851848677e-01,8.2322633642e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.5597385707e-01,8.3223253333e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.6351493433e-01,8.4133725914e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.7114270383e-01,8.5054159176e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.7885816219e-01,8.5984662091e-04,1.2000000000e-01,2.0600000000e+01,refine,2
6.8666231748e-01,8.6925344821e-04,1.2000000000e-01,2.0600000000e+01,refine,2
6.9455618936e-01,8.8686998703e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.0254080922e-01,8.9643408478e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.1061722028e-01,9.0610132275e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.1878647779e-01,9.1587281322e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.2704964911e-01,9.2574968045e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.3540781387e-01,9.3573306084e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.4386206411e-01,9.4582410304e-04,1.1900000000e-01,2.0700000000e+01,refine,1
7.5241350443e-01,9.5602396808e-04,1.1900000000e-01,2.0700000000e+01,refine,1
