MAp,eps,omegah2,xf,method,ncalls
6.1004200245e-01,7.7138054521e-04,1.2100000000e-01,2.0500000000e+01,refine,2
6.1919123334e-01,7.8719857728e-04,1.2000000000e-01,2.0500000000e+01,refine,1
6.2847768171e-01,7.9806110204e-04,1.2000000000e-01,2.0500000000e+01,refine,1
6.3790340551e-01,8.0907351838e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.4747049354e-01,8.2023789466e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.5718106596e-01,8.3155632776e-04,1.2100000000e-01,2.0600000000e+01,refine,2
6.6703727469e-01,8.4303094352e-04,1.2100000000e-01,2.0600000000e+01,refine,2
6.7704130394e-01,8.6087229692e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.8719537069e-01,8.7331349843e-04,1.2000000000e-01,2.0600000000e+01,refine,1
6.9750172516e-01,8.8593449838e-04,1.2000000000e-01,2.0600000000e+01,refine,1
7.0796265130e-01,8.9873789519e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.1858046734e-01,9.1172632483e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.2935752627e-01,9.2490246137e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.4029621637e-01,9.3826901753e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.5139896173e-01,9.5182874522e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.6266822280e-01,9.6558443612e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.7410649695e-01,9.7953892227e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.8571631897e-01,9.9369507663e-04,1.2000000000e-01,2.0700000000e+01,refine,1
7.9750026170e-01,1.0080558137e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.0946093654e-01,1.0226240900e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.2160099407e-01,1.0374029050e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.3392312462e-01,1.0523953012e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.4643005887e-01,1.0676043654e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.5912456845e-01,1.0830332288e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.7200946655e-01,1.0986850678e-03,1.2000000000e-01,2.0800000000e+01,refine,1
8.8508760858e-01,1.1145631050e-03,1.2000000000e-01,2.0900000000e+01,refine,1
8.9836189274e-01,1.1306706092e-03,1.2000000000e-01,2.0800000000e+01,refine,1
9.1183526072e-01,1.1470108968e-03,1.2000000000e-01,2.0900000000e+01,refine,1
9.2551069831e-01,1.1635873318e-03,1.2000000000e-01,2.0900000000e+01,refine,1
9.3939123611e-01,1.1804033271e-03,1.2000000000e-01,2.0900000000e+01,refine,1
9.5347995013e-01,1.1974623447e-03,1.2000000000e-01,2.0900000000e+01,refine,1
9.6777996256e-01,1.2147678967e-03,1.2000000000e-01,2.0900000000e+01,refine,1
9.8229444237e-01,1.2323235461e-03,1.2000000000e-01,2.0900000000e+01,refine,1
9.9702660609e-01,1.2501329072e-03,1.2000000000e-01,2.0900000000e+01,refine,1
1.0119797185e+00,1.2681996465e-03,1.2000000000e-01,2.0900000000e+01,refine,1
1.0271570933e+00,1.2865274838e-03,1.2000000000e-01,2.0900000000e+01,refine,1
1.0425620939e+00,1.3051201923e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.0581981341e+00,1.3239815999e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.0740686791e+00,1.3431155899e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.0901772459e+00,1.3625261015e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.1065274043e+00,1.3822171310e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.1231227775e+00,1.4021927324e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.1399670432e+00,1.4224570183e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.1570639343e+00,1.4430141607e-03,1.2000000000e-01,2.1100000000e+01,refine,2
1.1744172396e+00,1.4638683919e-03,1.2000000000e-01,2.1100000000e+01,refine,2
1.1920308047e+00,1.4752638416e-03,1.2100000000e-01,2.1100000000e+01,refine,1
